LST_DATE SUR_TEMP_DAILY_AVG SOIL_TEMP_5_DAILY SOIL_TEMP_10_DAILY SOIL_TEMP_20_DAILY SOIL_TEMP_50_DAILY SOIL_TEMP_100_DAILY
20180101 -4.3 -2.9 -2.2 -1.4 0.3 3.9
20180102 -5.6 -3.5 -2.6 -1.6 0.2 3.9
20180103 -6.1 -3.9 -3.1 -2.0 0.1 3.8
20180104 -4.1 -3.7 -3.1 -2.2 -0.1 3.8
20180105 -2.4 -2.8 -2.5 -2.0 -0.2 3.7
20180106 -1.9 -2.3 -2.1 -1.8 -0.3 3.6
20180107 -0.7 -1.5 -1.5 -1.5 -0.3 3.5
20180108 -0.2 -1.5 -1.3 -1.3 -0.2 3.5
20180109 1.5 -0.7 -1.0 -1.2 -0.1 3.4
20180110 0.6 -0.4 -0.7 -0.9 0.0 3.4
20180111 -0.6 -0.4 -0.5 -0.8 0.1 3.3
20180112 0.7 -0.3 -0.4 -0.6 0.2 3.3
20180113 -0.1 -0.4 -0.4 -0.5 0.3 3.3
20180114 -0.2 -0.4 -0.3 -0.4 0.4 3.3
20180115 -0.1 -0.5 -0.4 -0.3 0.5 3.3
20180116 0.1 -0.6 -0.4 -0.2 0.6 3.3
20180117 0.8 -0.2 -0.1 -0.1 0.7 3.4
20180118 0.2 -0.1 0.0 0.1 0.8 3.4
20180119 -0.7 -0.1 0.1 0.1 0.9 3.4
20180120 -5.4 -0.1 0.1 0.2 1.0 3.5
20180121 -7.8 -0.2 0.0 0.2 1.1 3.5
20180122 -5.4 -0.3 -0.1 0.2 1.1 3.5
20180123 -6.8 -0.5 -0.2 0.1 1.1 3.5
20180124 -4.5 -0.7 -0.3 0.0 1.1 3.5
20180125 -3.0 -0.6 -0.3 0.0 1.0 3.5
20180126 -4.9 -1.0 -0.5 -0.1 1.0 3.6
20180127 -2.4 -1.0 -0.6 -0.2 1.0 3.5
20180128 1.0 -0.7 -0.5 -0.2 0.9 3.5
20180129 0.5 -0.7 -0.4 -0.1 0.9 3.5
20180130 1.0 -0.4 -0.3 -0.1 0.9 3.5
20180131 0.6 -0.2 -0.1 0.0 1.0 3.5
20180201 2.3 0.3 0.3 0.3 1.0 3.4
20180202 3.2 0.6 0.6 0.6 1.2 3.5
20180203 3.3 1.2 1.2 1.0 1.3 3.5
20180204 4.1 2.0 1.8 1.5 1.6 3.5
20180205 3.5 2.9 2.7 2.2 2.0 3.6
20180206 0.5 1.7 2.0 2.2 2.3 3.7
20180207 0.8 1.1 1.5 1.8 2.4 3.8
20180208 2.0 1.3 1.6 1.6 2.3 3.9
20180209 5.1 2.5 2.4 2.1 2.3 3.9
20180210 0.0 1.6 2.1 2.2 2.5 4.0
20180211 -2.4 0.0 0.8 1.5 2.5 4.0
20180212 0.7 0.3 0.7 1.1 2.3 4.1
20180213 -0.7 0.1 0.6 1.0 2.1 4.1
20180214 1.0 0.1 0.6 0.9 2.0 4.1
20180215 -1.8 0.2 0.6 0.9 1.9 4.0
20180216 -2.7 -0.6 0.1 0.7 1.8 4.0
20180217 2.9 0.0 0.2 0.5 1.7 4.0
20180218 -0.9 0.3 0.6 0.7 1.6 3.9
20180219 -8.7 0.0 0.4 0.7 1.6 3.9
20180220 -14.5 -0.1 0.3 0.6 1.6 3.8
20180221 -12.2 -0.2 0.2 0.5 1.6 3.8
20180222 -8.2 -0.4 0.0 0.4 1.5 3.8
20180223 -10.5 -0.5 -0.1 0.3 1.4 3.8
20180224 -9.4 -0.6 -0.2 0.1 1.3 3.7
20180225 -10.2 -0.7 -0.3 0.0 1.2 3.6
20180226 -3.9 -0.7 -0.3 0.0 1.2 3.6
20180227 -3.8 -0.5 -0.2 0.0 1.1 3.6
20180228 -6.0 -0.7 -0.3 0.0 1.1 3.5
20180301 -1.9 -0.7 -0.3 0.0 1.0 3.5
20180302 -1.1 -0.5 -0.2 0.0 1.0 3.4
20180303 -2.6 -0.4 -0.1 0.1 1.0 3.4
20180304 -5.4 -0.3 0.0 0.1 1.0 3.4
20180305 -7.6 -0.3 0.0 0.2 1.1 3.3
20180306 -8.2 -0.3 0.1 0.3 1.1 3.3
20180307 -5.0 -0.4 0.0 0.3 1.1 3.3
20180308 -2.5 -0.4 0.0 0.3 1.1 3.3
20180309 1.5 -0.1 0.2 0.4 1.1 3.3
20180310 4.8 1.0 1.1 0.8 1.2 3.3
20180311 5.4 2.8 2.5 1.7 1.5 3.3
20180312 5.6 4.1 3.7 2.9 2.0 3.3
20180313 6.6 4.7 4.3 3.5 2.6 3.4
20180314 6.5 5.4 5.3 4.5 3.3 3.6
20180315 2.4 3.5 4.0 4.0 3.7 3.8
20180316 4.9 4.2 4.0 3.6 3.7 4.0
20180317 2.7 3.9 4.2 4.1 3.8 4.1
20180318 0.8 2.9 3.4 3.5 3.8 4.2
20180319 1.4 2.8 3.1 3.2 3.7 4.4
20180320 4.3 3.6 3.6 3.3 3.6 4.4
20180321 5.6 4.7 4.6 4.0 3.7 4.5
20180322 7.1 5.8 5.4 4.7 4.1 4.5
20180323 8.0 6.9 6.5 5.6 4.5 4.6
20180324 5.2 5.8 6.1 5.8 5.1 4.8
20180325 1.5 3.7 4.5 4.9 5.2 4.9
20180326 2.2 3.5 3.9 4.2 4.9 5.1
20180327 5.0 4.1 4.2 4.1 4.6 5.2
20180328 5.7 4.9 5.0 4.6 4.6 5.2
20180329 8.1 5.8 5.5 4.9 4.7 5.2
20180330 9.4 6.7 6.3 5.5 5.0 5.3
20180331 11.4 8.4 7.7 6.5 5.4 5.4
20180401 11.6 8.7 8.2 7.1 5.9 5.5
20180402 4.9 7.3 7.7 7.5 6.4 5.7
20180403 4.0 4.6 5.2 5.7 6.4 5.8
20180404 8.0 6.4 6.2 5.8 6.0 6.0
20180405 10.2 7.5 7.1 6.4 6.0 6.1
20180406 10.0 9.0 8.5 7.5 6.4 6.1
20180407 9.1 9.0 8.8 8.0 6.9 6.2
20180408 6.5 7.5 7.8 7.6 7.1 6.4
20180409 8.7 7.9 7.7 7.3 7.1 6.5
20180410 9.4 8.1 8.0 7.6 7.1 6.6
20180411 12.5 10.1 9.5 8.4 7.4 6.7
20180412 4.9 7.9 8.5 8.5 7.8 6.9
