75.295924_18.454331;77.325956_29.460769;dates
-0.8591561317443848;-0.8787899613380432;2002-01-01
-0.8930653929710388;-0.8913111686706543;2002-01-02
-0.8851210474967957;-0.900473415851593;2002-01-03
-0.8771559000015259;-0.892679750919342;2002-01-04
-0.875586986541748;-0.8912111520767212;2002-01-05
-0.8558298945426941;-0.8775578141212463;2002-01-06
-0.8572291731834412;-0.8544859886169434;2002-01-07
-0.8559837341308594;-0.8491939306259155;2002-01-08
-0.873569130897522;-0.8624423146247864;2002-01-09
-0.8854905962944031;-0.8766573667526245;2002-01-10
-0.8854844570159912;-0.9156240224838257;2002-01-11
-0.8951048851013184;-0.9058963060379028;2002-01-12
-0.9193795919418335;-0.9054877758026123;2002-01-13
-0.8867403864860535;-0.8861526250839233;2002-01-14
-0.852687418460846;-0.8699896931648254;2002-01-15
-0.8360837697982788;-0.8670070767402649;2002-01-16
-0.8220670819282532;-0.8652727603912354;2002-01-17
-0.8039267659187317;-0.8781701922416687;2002-01-18
-0.8005810379981995;-0.8665540218353271;2002-01-19
-0.815381646156311;-0.8605113625526428;2002-01-20
-0.8270617127418518;-0.8811138868331909;2002-01-21
-0.8721656203269958;-0.8885471820831299;2002-01-22
-0.931371808052063;-0.8811215162277222;2002-01-23
-0.9312667846679688;-0.8621591925621033;2002-01-24
-0.9066411256790161;-0.8553742170333862;2002-01-25
-0.8848599195480347;-0.8504513502120972;2002-01-26
-0.8582780361175537;-0.8474674224853516;2002-01-27
-0.8289324641227722;-0.858592689037323;2002-01-28
-0.8251274228096008;-0.8596596717834473;2002-01-29
-0.8321088552474976;-0.8551021814346313;2002-01-30
-0.8333104252815247;-0.8532230257987976;2002-01-31
-0.8332394957542419;-0.8512039184570312;2002-02-01
-0.8099387884140015;-0.8407905101776123;2002-02-02
-0.8016595840454102;-0.8316670060157776;2002-02-03
-0.8279323577880859;-0.8187004923820496;2002-02-04
-0.8226523399353027;-0.8142890930175781;2002-02-05
-0.8170268535614014;-0.8316619992256165;2002-02-06
-0.8266754150390625;-0.8370645642280579;2002-02-07
-0.847964882850647;-0.8318512439727783;2002-02-08
-0.8614837527275085;-0.8439162969589233;2002-02-09
-0.8872325420379639;-0.848103940486908;2002-02-10
-0.9172977209091187;-0.8448753356933594;2002-02-11
-0.9061659574508667;-0.8494154810905457;2002-02-12
-0.8867427110671997;-0.8710489273071289;2002-02-13
-0.8749438524246216;-0.8821286559104919;2002-02-14
-0.8788370490074158;-0.8933328986167908;2002-02-15
-0.8703531622886658;-0.9143926501274109;2002-02-16
-0.8868316411972046;-0.9360306262969971;2002-02-17
-0.8954746723175049;-0.9343738555908203;2002-02-18
-0.8999841809272766;-0.9471242427825928;2002-02-19
-0.9209088683128357;-0.9636995792388916;2002-02-20
-0.9693409204483032;-0.9692707657814026;2002-02-21
-0.988830029964447;-0.9790310263633728;2002-02-22
-1.011789083480835;-0.9905881285667419;2002-02-23
-1.0491830110549927;-0.9952319860458374;2002-02-24
-1.0420920848846436;-0.9831085205078125;2002-02-25
-1.0117005109786987;-0.9731793403625488;2002-02-26
-0.995421826839447;-0.9717534780502319;2002-02-27
-0.9609282612800598;-0.9670026898384094;2002-02-28
-0.9484157562255859;-0.9772348999977112;2002-03-01
-0.9508174061775208;-0.9755868315696716;2002-03-02
-0.9526061415672302;-0.9749704599380493;2002-03-03
-0.9350098967552185;-0.9814776182174683;2002-03-04
-0.9188019037246704;-0.9797006845474243;2002-03-05
-0.9254478216171265;-0.9660996198654175;2002-03-06
-0.9258224964141846;-0.9662448763847351;2002-03-07
-0.9275656342506409;-0.9679585099220276;2002-03-08
-0.934496283531189;-0.9509968757629395;2002-03-09
-0.9302764534950256;-0.9474548697471619;2002-03-10
-0.9440832734107971;-0.9267276525497437;2002-03-11
-0.9426407217979431;-0.9088115096092224;2002-03-12
-0.9327237606048584;-0.9152842164039612;2002-03-13
-0.9383784532546997;-0.9220455884933472;2002-03-14
-0.9550713300704956;-0.9571598172187805;2002-03-15
-0.929642379283905;-0.9543607831001282;2002-03-16
-0.9125248789787292;-0.9504234194755554;2002-03-17
-0.9037640690803528;-0.9570766687393188;2002-03-18
-0.9154952764511108;-0.9759150743484497;2002-03-19
-0.9385050535202026;-0.9683372378349304;2002-03-20
-0.929737389087677;-0.9640945196151733;2002-03-21
-0.9261205792427063;-0.9431443810462952;2002-03-22
-0.918488621711731;-0.9347410202026367;2002-03-23
-0.9071201682090759;-0.923309326171875;2002-03-24
-0.8967095613479614;-0.9183998107910156;2002-03-25
-0.8890318870544434;-0.912521243095398;2002-03-26
-0.9125630855560303;-0.8925635814666748;2002-03-27
-0.9178242087364197;-0.8732497692108154;2002-03-28
-0.9298152923583984;-0.8746147751808167;2002-03-29
-0.8891232013702393;-0.8744211792945862;2002-03-30
-0.8890610933303833;-0.8843036890029907;2002-03-31
-0.8779227137565613;-0.8990157842636108;2002-04-01
-0.8661275506019592;-0.920173704624176;2002-04-02
-0.8618316054344177;-0.9309406876564026;2002-04-03
-0.8707295656204224;-0.9528893828392029;2002-04-04
-0.885826587677002;-0.9505348205566406;2002-04-05
-0.9036915898323059;-0.9607095122337341;2002-04-06
-0.9086264371871948;-0.9712011814117432;2002-04-07
-0.9286816716194153;-0.9577344655990601;2002-04-08
-0.9439116716384888;-0.9400817155838013;2002-04-09
-0.9491490721702576;-0.9400904774665833;2002-04-10
-0.9617534279823303;-0.9590895771980286;2002-04-11
