75.295924_18.454331;77.325956_29.460769;dates
-0.309;-0.28;2002-01-01
-0.3088;-0.2786;2002-01-02
-0.30460000000000004;-0.2763;2002-01-03
-0.3042;-0.2738;2002-01-04
-0.3003;-0.2711;2002-01-05
-0.29660000000000003;-0.2674;2002-01-06
-0.29400000000000004;-0.2641;2002-01-07
-0.28950000000000004;-0.2646;2002-01-08
-0.2937;-0.2619;2002-01-09
-0.29760000000000003;-0.25930000000000003;2002-01-10
-0.3025;-0.25830000000000003;2002-01-11
-0.3062;-0.2587;2002-01-12
-0.3099;-0.2587;2002-01-13
-0.31170000000000003;-0.2521;2002-01-14
-0.3116;-0.2501;2002-01-15
-0.30920000000000003;-0.2497;2002-01-16
-0.30710000000000004;-0.2442;2002-01-17
-0.3022;-0.2388;2002-01-18
-0.2932;-0.23650000000000002;2002-01-19
-0.2858;-0.2348;2002-01-20
-0.2843;-0.23170000000000002;2002-01-21
-0.28;-0.2318;2002-01-22
-0.2787;-0.2323;2002-01-23
-0.2796;-0.2277;2002-01-24
-0.28040000000000004;-0.22990000000000002;2002-01-25
-0.28250000000000003;-0.2361;2002-01-26
-0.2909;-0.2381;2002-01-27
-0.29450000000000004;-0.23570000000000002;2002-01-28
-0.29710000000000003;-0.23120000000000002;2002-01-29
-0.305;-0.23650000000000002;2002-01-30
-0.3139;-0.2432;2002-01-31
-0.3199;-0.24000000000000002;2002-02-01
-0.3286;-0.24150000000000002;2002-02-02
-0.333;-0.24930000000000002;2002-02-03
-0.3361;-0.261;2002-02-04
-0.3407;-0.26680000000000004;2002-02-05
-0.3412;-0.27540000000000003;2002-02-06
-0.341;-0.2871;2002-02-07
-0.3452;-0.2963;2002-02-08
-0.3473;-0.3005;2002-02-09
-0.35250000000000004;-0.3073;2002-02-10
-0.3598;-0.315;2002-02-11
-0.3674;-0.31970000000000004;2002-02-12
-0.37470000000000003;-0.3246;2002-02-13
-0.3834;-0.3326;2002-02-14
-0.3876;-0.34450000000000003;2002-02-15
-0.3899;-0.3543;2002-02-16
-0.3967;-0.3679;2002-02-17
-0.4007;-0.3794;2002-02-18
-0.4011;-0.38480000000000003;2002-02-19
-0.3987;-0.3899;2002-02-20
-0.4011;-0.39580000000000004;2002-02-21
-0.4038;-0.3937;2002-02-22
-0.4041;-0.39580000000000004;2002-02-23
-0.41090000000000004;-0.40190000000000003;2002-02-24
-0.4128;-0.4022;2002-02-25
-0.4113;-0.4025;2002-02-26
-0.41500000000000004;-0.41100000000000003;2002-02-27
-0.41540000000000005;-0.41490000000000005;2002-02-28
-0.4162;-0.4179;2002-03-01
-0.4163;-0.4219;2002-03-02
-0.4178;-0.4184;2002-03-03
-0.41960000000000003;-0.4248;2002-03-04
-0.4228;-0.4268;2002-03-05
-0.4204;-0.4303;2002-03-06
-0.4192;-0.42010000000000003;2002-03-07
-0.4187;-0.4252;2002-03-08
-0.41500000000000004;-0.42000000000000004;2002-03-09
-0.41190000000000004;-0.41490000000000005;2002-03-10
-0.41140000000000004;-0.4108;2002-03-11
-0.41290000000000004;-0.39380000000000004;2002-03-12
-0.4027;-0.3804;2002-03-13
-0.3901;-0.3619;2002-03-14
-0.38470000000000004;-0.3453;2002-03-15
-0.3698;-0.32130000000000003;2002-03-16
-0.35710000000000003;-2147483647.0;2002-03-17
-0.3511;-0.25520000000000004;2002-03-18
-0.3538;-0.2592;2002-03-19
-0.3487;-0.2503;2002-03-20
-0.34600000000000003;-0.2389;2002-03-21
-0.34690000000000004;-0.2472;2002-03-22
-0.34740000000000004;-0.2529;2002-03-23
-0.3477;-0.2534;2002-03-24
-0.3433;-0.2551;2002-03-25
-0.3451;-0.259;2002-03-26
-0.3383;-0.2626;2002-03-27
-0.33440000000000003;-0.26380000000000003;2002-03-28
-0.3286;-0.2676;2002-03-29
-0.32280000000000003;-0.2669;2002-03-30
-0.31970000000000004;-0.2676;2002-03-31
-0.3169;-0.2707;2002-04-01
-0.31670000000000004;-0.27390000000000003;2002-04-02
-0.3216;-0.276;2002-04-03
-0.3244;-0.2778;2002-04-04
-0.3306;-0.2805;2002-04-05
-0.3366;-0.2821;2002-04-06
-0.343;-0.2852;2002-04-07
-0.3477;-0.2871;2002-04-08
-0.3513;-0.2889;2002-04-09
-0.3572;-0.2954;2002-04-10
-0.3568;-0.29450000000000004;2002-04-11
-0.35710000000000003;-0.2919;2002-04-12
-0.3573;-0.2924;2002-04-13
-0.35700000000000004;-0.2932;2002-04-14
-0.3546;-0.2913;2002-04-15
-0.3543;-0.28750000000000003;2002-04-16
-0.3507;-0.28900000000000003;2002-04-17
-0.3476;-0.2878;2002-04-18
-0.3417;-0.2909;2002-04-19
-0.33590000000000003;-0.29300000000000004;2002-04-20
-0.3277;-0.2972;2002-04-21
-0.3236;-0.2959;2002-04-22
-0.321;-0.3002;2002-04-23
-0.32330000000000003;-0.30510000000000004;2002-04-24
-0.3297;-0.3054;2002-04-25
-0.3372;-0.305;2002-04-26
-0.34950000000000003;-0.3062;2002-04-27
-0.36060000000000003;-0.30720000000000003;2002-04-28
-0.3718;-0.3115;2002-04-29
-0.3835;-0.31220000000000003;2002-04-30
-0.38670000000000004;-0.3128;2002-05-01
-0.3907;-0.3163;2002-05-02
-0.3895;-0.3183;2002-05-03
-0.38430000000000003;-0.3181;2002-05-04
-0.3808;-0.3186;2002-05-05
-0.37560000000000004;-0.32020000000000004;2002-05-06
-0.3688;-0.3195;2002-05-07
-0.3609;-0.3271;2002-05-08
-0.3559;-0.3289;2002-05-09
-0.3541;-0.3292;2002-05-10
-0.3523;-0.3224;2002-05-11
-0.35700000000000004;-0.322;2002-05-12
-0.36050000000000004;-0.3189;2002-05-13
-0.3648;-0.3168;2002-05-14
-0.3704;-0.3183;2002-05-15
-0.3733;-0.3175;2002-05-16
-0.37510000000000004;-0.3143;2002-05-17
-0.37260000000000004;-0.3129;2002-05-18
-0.367;-0.30710000000000004;2002-05-19
-0.36260000000000003;-0.3063;2002-05-20
-0.3569;-0.30460000000000004;2002-05-21
-0.3564;-0.3044;2002-05-22
-0.3514;-0.3039;2002-05-23
-0.34750000000000003;-0.3017;2002-05-24
-0.3446;-0.3015;2002-05-25
-0.3403;-0.29710000000000003;2002-05-26
-0.3383;-0.2936;2002-05-27
-0.3392;-0.29400000000000004;2002-05-28
-0.3386;-0.29050000000000004;2002-05-29
-0.34;-0.2868;2002-05-30
-0.3423;-0.2897;2002-05-31
-0.34500000000000003;-0.2901;2002-06-01
-0.34740000000000004;-0.28800000000000003;2002-06-02
-0.3498;-0.2904;2002-06-03
-0.34890000000000004;-0.2908;2002-06-04
-0.3482;-0.2931;2002-06-05
-0.34700000000000003;-0.2987;2002-06-06
-0.3472;-0.30310000000000004;2002-06-07
-0.34590000000000004;-0.3029;2002-06-08
-0.34850000000000003;-0.3035;2002-06-09
-0.3501;-0.3047;2002-06-10
-0.3531;-0.30360000000000004;2002-06-11
-0.3564;-0.30410000000000004;2002-06-12
-0.3556;-0.3052;2002-06-13
-0.3549;-0.3038;2002-06-14
-0.35660000000000003;-0.3028;2002-06-15
-0.3572;-0.30720000000000003;2002-06-16
-0.3554;-0.3039;2002-06-17
-0.3547;-0.3037;2002-06-18
-0.3559;-0.30820000000000003;2002-06-19
-0.3597;-0.30910000000000004;2002-06-20
-0.36460000000000004;-0.30820000000000003;2002-06-21
-0.373;-0.3133;2002-06-22
-0.3766;-0.3134;2002-06-23
-0.3798;-0.314;2002-06-24
-0.3816;-0.31170000000000003;2002-06-25
-0.3861;-0.3105;2002-06-26
-0.3816;-0.308;2002-06-27
-0.3815;-0.30860000000000004;2002-06-28
-0.38;-0.3111;2002-06-29
-0.3796;-0.308;2002-06-30
-0.379;-0.30820000000000003;2002-07-01
-0.3786;-0.30770000000000003;2002-07-02
-0.3754;-0.30770000000000003;2002-07-03
-0.37520000000000003;-0.30860000000000004;2002-07-04
-0.3765;-0.31010000000000004;2002-07-05
-0.37320000000000003;-0.30720000000000003;2002-07-06
-0.37320000000000003;-0.3085;2002-07-07
-0.3728;-0.30970000000000003;2002-07-08
-0.37270000000000003;-0.3094;2002-07-09
-0.3729;-0.3078;2002-07-10
-0.37320000000000003;-0.308;2002-07-11
-0.37270000000000003;-0.3079;2002-07-12
