	dates	sea_level
0	2014-01-01	-0.20520000000000002
1	2014-01-01	-0.20520000000000002
2	2014-01-02	-0.2025
3	2014-01-03	-0.20090000000000002
4	2014-01-04	-0.1966
5	2014-01-05	-0.2005
6	2014-01-06	-0.2021
7	2014-01-07	-0.2092
8	2014-01-08	-0.21680000000000002
9	2014-01-09	-0.22410000000000002
10	2014-01-10	-0.2333
11	2014-01-11	-0.23920000000000002
12	2014-01-12	-0.2371
13	2014-01-13	-0.2381
14	2014-01-14	-0.2412
50	2014-01-15	-0.2394
306	2014-01-16	-0.2441
307	2014-01-17	-0.2454
308	2014-01-18	-0.2487
309	2014-01-19	-0.2487
310	2014-01-20	-0.24930000000000002
311	2014-01-21	-0.24780000000000002
312	2014-01-22	-0.2524
313	2014-01-23	-0.2519
314	2014-01-24	-0.25570000000000004
315	2014-01-25	-0.2595
316	2014-01-26	-0.2556
317	2014-01-27	-0.26230000000000003
318	2014-01-28	-0.2561
319	2014-01-29	-0.2612
320	2014-01-30	-0.2602
321	2014-01-31	-0.2646
322	2014-02-01	-0.272
51	2014-02-02	-0.28090000000000004
129	2014-02-03	-0.29350000000000004
130	2014-02-04	-0.2984
131	2014-02-05	-0.3064
132	2014-02-06	-0.3139
133	2014-02-07	-0.3205
134	2014-02-08	-0.32580000000000003
135	2014-02-09	-0.33240000000000003
136	2014-02-10	-0.3371
137	2014-02-11	-0.3457
138	2014-02-12	-0.3533
139	2014-02-13	-0.3633
140	2014-02-14	-0.3639
52	2014-02-15	-0.36810000000000004
352	2014-02-16	-0.3684
353	2014-02-17	-0.3654
354	2014-02-18	-0.3629
355	2014-02-19	-0.3629
356	2014-02-20	-0.3618
357	2014-02-21	-0.36010000000000003
358	2014-02-22	-0.3593
359	2014-02-23	-0.3527
360	2014-02-24	-0.3453
361	2014-02-25	-0.3346
362	2014-02-26	-0.3275
363	2014-02-27	-0.31970000000000004
364	2014-02-28	-0.3133
365	2014-03-01	-0.305
53	2014-03-02	-0.3019
213	2014-03-03	-0.3023
214	2014-03-04	-0.29250000000000004
215	2014-03-05	-0.2849
216	2014-03-06	-0.2747
217	2014-03-07	-0.2707
218	2014-03-08	-0.2541
219	2014-03-09	-0.24630000000000002
220	2014-03-10	-0.2464
221	2014-03-11	-0.24350000000000002
222	2014-03-12	-0.2495
223	2014-03-13	-0.256
224	2014-03-14	-0.2639
225	2014-03-15	-0.2672
226	2014-03-16	-0.2736
227	2014-03-17	-0.2772
228	2014-03-18	-0.2811
229	2014-03-19	-0.27940000000000004
230	2014-03-20	-0.2775
231	2014-03-21	-0.277
232	2014-03-22	-0.2758
233	2014-03-23	-0.2807
234	2014-03-24	-0.28340000000000004
54	2014-03-25	-0.29250000000000004
69	2014-03-26	-0.2977
70	2014-03-27	-0.3088
71	2014-03-28	-0.32080000000000003
72	2014-03-29	-0.3312
73	2014-03-30	-0.34400000000000003
74	2014-03-31	-0.3546
75	2014-04-01	-0.3482
76	2014-04-02	-0.3476
77	2014-04-03	-0.3446
78	2014-04-04	-0.3431
79	2014-04-05	-0.3437
80	2014-04-06	-0.3416
81	2014-04-07	-0.3387
82	2014-04-08	-0.3402
83	2014-04-09	-0.3422
84	2014-04-10	-0.3387
85	2014-04-11	-0.33230000000000004
86	2014-04-12	-0.3295
87	2014-04-13	-0.32380000000000003
88	2014-04-14	-0.32220000000000004
89	2014-04-15	-0.3176
55	2014-04-16	-0.313
200	2014-04-17	-0.311
201	2014-04-18	-0.31170000000000003
202	2014-04-19	-0.31270000000000003
203	2014-04-20	-0.3133
204	2014-04-21	-0.3163
205	2014-04-22	-0.3174
206	2014-04-23	-0.3209
207	2014-04-24	-0.318
208	2014-04-25	-0.3171
209	2014-04-26	-0.3168
210	2014-04-27	-0.3181
211	2014-04-28	-0.32030000000000003
212	2014-04-29	-0.3181
56	2014-04-30	-0.31320000000000003
336	2014-05-01	-0.31070000000000003
337	2014-05-02	-0.3114
338	2014-05-03	-0.3106
339	2014-05-04	-0.3133
340	2014-05-05	-0.32030000000000003
341	2014-05-06	-0.3201
342	2014-05-07	-0.3262
343	2014-05-08	-0.3312
344	2014-05-09	-0.3371
345	2014-05-10	-0.34450000000000003
346	2014-05-11	-0.3481
347	2014-05-12	-0.3496
348	2014-05-13	-0.3451
349	2014-05-14	-0.34750000000000003
350	2014-05-15	-0.34650000000000003
351	2014-05-16	-0.3458
57	2014-05-17	-0.3425
141	2014-05-18	-0.3378
142	2014-05-19	-0.3361
143	2014-05-20	-0.33240000000000003
144	2014-05-21	-0.3316
145	2014-05-22	-0.33130000000000004
146	2014-05-23	-0.3335
147	2014-05-24	-0.33680000000000004
148	2014-05-25	-0.33480000000000004
149	2014-05-26	-0.3406
150	2014-05-27	-0.3407
151	2014-05-28	-0.3407
152	2014-05-29	-0.34400000000000003
153	2014-05-30	-0.3467
154	2014-05-31	-0.3497
155	2014-06-01	-0.3526
156	2014-06-02	-0.3564
157	2014-06-03	-0.35450000000000004
158	2014-06-04	-0.34990000000000004
159	2014-06-05	-0.34740000000000004
160	2014-06-06	-0.3452
161	2014-06-07	-0.3418
162	2014-06-08	-0.3397
163	2014-06-09	-0.3408
58	2014-06-10	-0.34140000000000004
15	2014-06-11	-0.3513
16	2014-06-12	-0.3523
17	2014-06-13	-0.3486
18	2014-06-14	-0.34550000000000003
19	2014-06-15	-0.3438
20	2014-06-16	-0.33640000000000003
21	2014-06-17	-0.32680000000000003
22	2014-06-18	-0.3267
23	2014-06-19	-0.32880000000000004
24	2014-06-20	-0.33190000000000003
25	2014-06-21	-0.3291
26	2014-06-22	-0.33140000000000003
27	2014-06-23	-0.3302
28	2014-06-24	-0.3242
59	2014-06-25	-0.32170000000000004
273	2014-06-26	-0.3221
274	2014-06-27	-0.3201
275	2014-06-28	-0.3126
276	2014-06-29	-0.306
277	2014-06-30	-0.3032
278	2014-07-01	-0.299
279	2014-07-02	-0.2979
