dates;sea_level
2014-01-01;-0.2052
2014-01-02;-0.2025
2014-01-03;-0.2009
2014-01-04;-0.1966
2014-01-05;-0.2005
2014-01-06;-0.2021
2014-01-07;-0.2092
2014-01-08;-0.2168
2014-01-09;-0.2241
2014-01-10;-0.2333
2014-01-11;-0.2392
2014-01-12;-0.2371
2014-01-13;-0.2381
2014-01-14;-0.2412
2014-01-15;-0.2394
2014-01-16;-0.2441
2014-01-17;-0.2454
2014-01-18;-0.2487
2014-01-19;-0.2487
2014-01-20;-0.2493
2014-01-21;-0.2478
2014-01-22;-0.2524
2014-01-23;-0.2519
2014-01-24;-0.25570000000000004
2014-01-25;-0.2595
2014-01-26;-0.2556
2014-01-27;-0.26230000000000003
2014-01-28;-0.2561
2014-01-29;-0.2612
2014-01-30;-0.2602
2014-01-31;-0.2646
2014-02-01;-0.272
2014-02-02;-0.28090000000000004
2014-02-03;-0.29350000000000004
2014-02-04;-0.2984
2014-02-05;-0.3064
2014-02-06;-0.3139
2014-02-07;-0.3205
2014-02-08;-0.32580000000000003
2014-02-09;-0.33240000000000003
2014-02-10;-0.3371
2014-02-11;-0.3457
2014-02-12;-0.3533
2014-02-13;-0.3633
2014-02-14;-0.3639
2014-02-15;-0.3681
2014-02-16;-0.3684
2014-02-17;-0.3654
2014-02-18;-0.3629
2014-02-19;-0.3629
2014-02-20;-0.3618
2014-02-21;-0.36010000000000003
2014-02-22;-0.3593
2014-02-23;-0.3527
2014-02-24;-0.3453
2014-02-25;-0.3346
2014-02-26;-0.3275
2014-02-27;-0.31970000000000004
2014-02-28;-0.3133
2014-03-01;-0.305
2014-03-02;-0.3019
2014-03-03;-0.3023
2014-03-04;-0.29250000000000004
2014-03-05;-0.2849
2014-03-06;-0.2747
2014-03-07;-0.2707
2014-03-08;-0.2541
2014-03-09;-0.2463
2014-03-10;-0.2464
2014-03-11;-0.2435
2014-03-12;-0.2495
2014-03-13;-0.256
2014-03-14;-0.2639
2014-03-15;-0.2672
2014-03-16;-0.2736
2014-03-17;-0.2772
2014-03-18;-0.2811
2014-03-19;-0.27940000000000004
2014-03-20;-0.2775
2014-03-21;-0.27699999999999997
2014-03-22;-0.2758
2014-03-23;-0.2807
2014-03-24;-0.28340000000000004
2014-03-25;-0.29250000000000004
2014-03-26;-0.2977
2014-03-27;-0.3088
2014-03-28;-0.32080000000000003
2014-03-29;-0.3312
2014-03-30;-0.34400000000000003
2014-03-31;-0.3546
2014-04-01;-0.3482
2014-04-02;-0.3476
2014-04-03;-0.3446
2014-04-04;-0.3431
2014-04-05;-0.3437
2014-04-06;-0.3416
2014-04-07;-0.3387
2014-04-08;-0.3402
2014-04-09;-0.3422
2014-04-10;-0.3387
2014-04-11;-0.33230000000000004
2014-04-12;-0.3295
2014-04-13;-0.32380000000000003
2014-04-14;-0.32220000000000004
2014-04-15;-0.3176
2014-04-16;-0.313
2014-04-17;-0.311
2014-04-18;-0.31170000000000003
2014-04-19;-0.31270000000000003
2014-04-20;-0.3133
2014-04-21;-0.3163
2014-04-22;-0.3174
2014-04-23;-0.3209
2014-04-24;-0.318
2014-04-25;-0.3171
2014-04-26;-0.3168
2014-04-27;-0.3181
2014-04-28;-0.32030000000000003
2014-04-29;-0.3181
2014-04-30;-0.31320000000000003
2014-05-01;-0.31070000000000003
2014-05-02;-0.3114
2014-05-03;-0.3106
2014-05-04;-0.3133
