POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF
76.04_8.72;0.0001648156527655867;0.011003522888388961;23.738166666666668;-1.342406283788241e+30;0.000149567581112805;0.010271212234674311;19.7202;-7.870193977374303e+29;-1.5248071652781677e-05;-0.00073231065371465;-4.01796666666667;-5.5538688605081076e+29
75.84_8.72;0.00016645011219289867;0.010982576703522463;28.1321;-9.355522034437726e+29;0.0001958051661030795;0.012078730078220294;29.52530000000001;-9.560657237467377e+29;2.9355053910180823e-05;0.0010961533746978308;1.3932000000000073;2.0513520302965126e+28
75.64_8.72;8.451848971519105e-05;0.007363639993481104;21.935400000000005;-1.3099052621059047e+30;0.00017500802071639782;0.011262219925966214;32.0514;-3.1798360858600996e+30;9.048953100120677e-05;0.00389857993248511;10.115999999999996;1.869930823754195e+30
75.44_8.72;6.0698394380776626e-05;0.0058103895712896285;13.87016666666667;-8.473070164612618e+29;0.00019188314955280122;0.011139141337560433;26.674566666666667;-2.612383644229905e+30;0.0001311847551720246;0.005328751766270804;12.804399999999998;1.765076627768643e+30
76.44_9.72;9.23501846721501e-05;0.008220077625549283;11.488333333333335;-3.448312835253059e+29;0.00034925091918293555;0.015812386700819674;21.028466666666663;-9.383358245467718e+29;0.00025690073451078543;0.007592309075270391;9.540133333333328;5.935045410214659e+29
76.24_9.72;8.91522781052115e-05;0.008190813527112529;11.0935;-2.6317829495345474e+29;0.0004445178946577915;0.018823491668028696;24.262833333333337;-1.1660751221804291e+30;0.00035536561655258;0.010632678140916167;13.169333333333336;9.028968272269744e+29
76.04_9.72;0.000145225726270736;0.010765783976895699;17.7414;-5.385373295887719e+29;0.00012459110135928228;0.008748546493507887;12.940466666666667;-4.33860393139401e+29;-2.0634624911453726e-05;-0.0020172374833878123;-4.800933333333331;-1.046769364493709e+29
75.84_9.72;0.00016638626608770686;0.011392854164536404;21.911200000000004;-1.3953859104059526e+30;0.00015713981461791228;0.010712896723702072;19.7728;-1.17560860189559e+30;-9.246451469794572e-06;-0.0006799574408343327;-2.1384000000000043;-2.197773085103626e+29
75.64_9.72;0.0001590621692561674;0.010990643718264725;23.9481;-1.488856175324687e+30;0.0002853163143151431;0.014274917909487513;29.780366666666666;-2.862950414401173e+30;0.00012625414505897572;0.003284274191222788;5.832266666666666;1.374094239076486e+30
75.44_9.72;8.465664873996455e-05;0.007356801663845606;15.340566666666666;-4.4877732366614145e+29;0.00014158489835156267;0.008870633673932834;17.899733333333334;-1.0106967233103971e+30;5.692824961159812e-05;0.0015138320100872285;2.559166666666668;5.619193996442557e+29
76.84_10.72;0.00011660823804990033;0.009610534384512464;19.00313333333333;-9.128283487181696e+29;0.00015585581736651336;0.010639497514974476;19.985266666666668;-7.575976841330279e+29;3.924757931661303e-05;0.0010289631304620118;0.9821333333333371;-1.5523066458514173e+29
76.64_10.72;0.00011660823804990033;0.009610534384512464;19.00313333333333;-9.128283487181696e+29;0.00012490882867567982;0.010079637803441299;19.588833333333334;-8.023260809689265e+29;8.300590625779497e-06;0.00046910341892883456;0.5857000000000028;-1.1050226774924313e+29
76.44_10.72;0.00012066975437718297;0.009967692664766674;14.297533333333332;-4.162316175637091e+29;0.00011845276298110371;0.009041366825859438;12.490966666666669;-3.8028142483229755e+29;-2.216991396079265e-06;-0.0009263258389072358;-1.8065666666666633;-3.5950192731411576e+28
76.24_10.72;0.00010021661585628558;0.008980884234875634;11.858333333333336;-2.1869372611156845e+29;0.0002059775301684267;0.011300992544961171;13.670166666666665;-3.0386554917517933e+29;0.00010576091431214111;0.0023201083100855367;1.811833333333329;8.517182306361088e+28
76.04_10.72;6.299981688244973e-05;0.006799229795248865;9.383733333333334;-2.0647459200510645e+29;0.00014229690846796482;0.009372475950692455;12.320633333333332;-3.0695015592219313e+29;7.929709158551509e-05;0.00257324615544359;2.936899999999998;1.0047556391708668e+29
75.84_10.72;6.609469218240225e-05;0.006927567270574781;11.582833333333333;-5.1300215314978165e+29;0.00012442841054804038;0.008726078862795016;14.020566666666667;-1.2003613611430416e+30;5.833371836563813e-05;0.0017985115922202347;2.437733333333334;6.873592079932599e+29
75.64_10.72;6.996358037780359e-05;0.007028188049960905;12.953800000000003;-8.437108879779009e+29;0.0002573325126087962;0.01250538548794065;22.319566666666667;-2.3971888346537053e+30;0.00018736893223099264;0.005477197437979746;9.365766666666664;1.5534779466758046e+30
75.44_10.72;7.334272296935759e-05;0.007200169378895193;14.022266666666669;-5.965587681465103e+29;0.00024046768100453509;0.01209055923501799;23.1209;-1.794218242544213e+30;0.0001671249580351775;0.004890389856122797;9.09863333333333;1.1976594743977025e+30
75.24_10.72;8.12623605319796e-05;0.007580870996143227;14.524;-4.301141504347036e+29;0.0001416582764293347;0.009427848488694152;17.7744;-5.561727779041156e+29;6.0395915897355103e-05;0.001846977492550925;3.250400000000001;1.2605862746941198e+29
77.24_11.72;9.695348812897765e-05;0.007462019799412802;18.36356666666667;-2.545754638100136e+30;9.255680124445671e-05;0.007666047084739127;14.727766666666664;-7.444151180945705e+29;-4.396686884520931e-06;0.00020402728532632492;-3.635800000000007;-1.8013395200055655e+30
77.04_11.72;9.25812446130749e-05;0.007793537618412183;17.265966666666667;-1.0290357660792393e+30;7.911049075121395e-05;0.007439519907058368;14.107899999999999;-5.3312885502478075e+29;-1.3470753861860948e-05;-0.00035401771135381514;-3.1580666666666684;-4.9590691105445855e+29
76.84_11.72;0.00013636077519611287;0.010104454467506498;22.866766666666663;-8.710552297419812e+29;0.00017128541962726888;0.011422633533037243;24.926733333333335;-1.5000738707608496e+30;3.4924644431156014e-05;0.001318179065530745;2.0599666666666714;6.2901864101886836e+29
76.64_11.72;0.00015686616146840562;0.011369755652782225;23.33083333333333;-9.963784173486833e+29;0.00011873702322682374;0.009329836032533324;17.363133333333334;-9.678521125575713e+29;-3.812913824158188e-05;-0.0020399196202489003;-5.967699999999997;-2.8526304791112037e+28
76.44_11.72;0.00011995441286866249;0.009993309525666674;16.295033333333333;-8.189561957115674e+29;0.00013639622000303117;0.008994353973433105;13.340699999999996;-4.369802687261468e+29;1.6441807134368687e-05;-0.000998955552233569;-2.954333333333336;-3.8197592698542056e+29
76.24_11.72;0.00011995441286866249;0.009993309525666674;16.295033333333333;-8.189561957115674e+29;0.0001252045278870579;0.00948728529485557;15.194499999999998;-8.206511781381352e+29;5.250115018395408e-06;-0.0005060242308111036;-1.1005333333333347;1.6949824265678313e+27
76.04_11.72;8.05306463473862e-05;0.007993430437420037;12.379666666666663;-6.327686153649485e+29;0.00020815871341808856;0.011812655965858001;17.946233333333332;-1.0001088784598107e+30;0.00012762806707070236;0.0038192255284379643;5.566566666666668;3.673402630948622e+29
75.84_11.72;5.454993905832585e-05;0.006279392895772614;11.903699999999999;-3.765087715101141e+29;9.996995801871663e-05;0.008472652054694437;15.488233333333335;-5.540090478935437e+29;4.542001896039078e-05;0.002193259158921823;3.5845333333333365;1.7750027638342957e+29
75.64_11.72;5.454993905832585e-05;0.006279392895772614;11.903699999999999;-3.765087715101141e+29;0.00011438133854725081;0.009424441561252127;17.778166666666667;-7.79354947885577e+29;5.9831399488924956e-05;0.0031450486654795128;5.8744666666666685;4.028461763754629e+29
75.44_11.72;7.95638002200212e-05;0.00783903307708216;16.0465;-7.684217647823631e+29;0.00011216189320765565;0.00895869958697829;17.9556;-9.404109595609622e+29;3.2598092987634454e-05;0.0011196665098961289;1.9090999999999987;1.7198919477859904e+29
