POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF
76.04_8.72;0.0008982730785066495;0.02607947851033703;51.132;-2.3778676636769167;0.00024643028655213;0.012188500749782024;27.461;0.07332311719846951;-0.0006518427919545195;-0.013890977760555005;-23.671;-2.3045445464784473
75.84_8.72;0.0006144800908885804;0.02051469525537911;45.322;-1.5729774735544808;0.0001485989572166994;0.009442305334137627;31.287;0.37778005311879004;-0.00046588113367188104;-0.011072389921241483;-14.035000000000004;-1.1951974204356908
75.64_8.72;0.0003591761054160281;0.015332406586941821;37.656;-0.6414337170794528;0.0001400446651252237;0.009051883694947133;28.004;0.3599963032970035;-0.00021913144029080443;-0.006280522891994688;-9.651999999999997;-0.28143741378244935
75.44_8.72;0.00022156855002311592;0.012016125431068808;32.666;0.06787362001250119;0.00018621218755612178;0.010628392558495611;37.349;0.21661584065909933;-3.535636246699414e-05;-0.0013877328725731969;4.683;0.14874222064659814
76.44_9.72;0.0011156960803774655;0.029940209407891487;44.233;-2.2916902337900713;0.0005027760071367041;0.019219471253007915;30.778;-0.48336352666573656;-0.0006129200732407614;-0.010720738154883572;-13.454999999999998;-1.8083267071243347
76.24_9.72;0.0014130181712216456;0.03431238299021645;50.386;-3.1246809471089705;0.0007599867694041461;0.02358103911832828;34.643;-1.2184448945239161;-0.0006530314018174995;-0.010731343871888174;-15.743000000000002;-1.9062360525850544
76.04_9.72;0.0010901302600598382;0.029785348349908747;47.663;-3.0424349815917067;0.00027024693625611655;0.01301849311647836;21.602;-0.002133147583430972;-0.0008198833238037217;-0.016766855233430387;-26.060999999999996;-3.0403018340082757
75.84_9.72;0.0006190235869784737;0.021173258074294484;36.888;-1.7173207983737289;0.00016586930835853775;0.010188635590159641;24.694;0.27188538385986627;-0.0004531542786199359;-0.010984622484134843;-12.193999999999999;-1.4454354145138626
75.64_9.72;0.00032489842634537264;0.014731390114760282;30.46;-0.5658386517426612;0.00019599220985456464;0.010786979639996589;33.411;0.055421163214547264;-0.000128906216490808;-0.0039444104747636925;2.9510000000000005;-0.510417488528114
75.44_9.72;0.00016543019521242353;0.01004141172700081;32.138;0.25442633819579696;0.00020190339602248712;0.01084799623346204;39.085;0.09004608191452435;3.647320081006359e-05;0.0008065845064612297;6.947000000000003;-0.16438025628127262
76.84_10.72;0.00040777868704023923;0.0172318111018459;33.206;-0.7803976558947046;0.00022478395067171707;0.012270567731487885;27.793;0.01857347728626113;-0.00018299473636852216;-0.004961243370358014;-5.413000000000004;-0.7618241786084434
76.64_10.72;0.00040777868704023923;0.0172318111018459;33.206;-0.7803976558947046;0.00016414914607129714;0.010369789128448183;24.096;0.2833103735663952;-0.0002436295409689421;-0.006862021973397716;-9.110000000000003;-0.49708728232830934
76.44_10.72;0.0009325358515475472;0.02739001658537233;39.806;-2.300017019313994;0.0002795989416469769;0.013946108168446738;21.792;0.010567513853745436;-0.0006529369099005703;-0.013443908416925592;-18.013999999999996;-2.2894495054602486
76.24_10.72;0.001305304982387821;0.03315821070989006;46.056;-3.2130509248956924;0.0005360011371585031;0.019690844860481383;27.782;-0.7300172121612556;-0.0007693038452293179;-0.013467365849408674;-18.273999999999997;-2.4830337127344366
76.04_10.72;0.0011293260936423668;0.031034671794635604;46.234;-2.7487604093203872;0.0005362703730456473;0.020100863281568477;29.333;-0.7801316683307165;-0.0005930557205967195;-0.010933808513067127;-16.901000000000003;-1.9686287409896708
75.84_10.72;0.00044367963449132427;0.018071779988895826;30.204;-0.90978113041841;0.00018857215570681435;0.010929771800654858;20.447;0.18830724537517984;-0.00025510747878450995;-0.007142008188240968;-9.757000000000001;-0.7214738850432302
75.64_10.72;0.00021712857194276965;0.011990047171251012;23.014;-0.03798712341600918;0.0001627637269425279;0.009754466323901681;22.535;0.22190501593648415;-5.436484500024176e-05;-0.0022355808473493305;-0.4789999999999992;0.18391789252047497
75.44_10.72;0.00013395170567183232;0.009192094448203023;22.914;0.3555772408951634;0.0001484509176998552;0.00909451257657003;26.871;0.28582357726630725;1.449921202802289e-05;-9.758187163299258e-05;3.956999999999997;-0.06975366362885616
75.24_10.72;0.00013990082097474423;0.00932387482853666;22.691;0.34299552183738935;0.0001278705648165482;0.00876508832510689;24.581;0.39949220366032867;-1.2030256158196032e-05;-0.0005587865034297704;1.8900000000000006;0.05649668182293932
77.24_11.72;0.00039891143606414796;0.016329723814146303;38.582;-0.16703580514699445;0.0002662073578405508;0.013256176611979007;63.187;0.221196761720457;-0.00013270407822359718;-0.003073547202167296;24.604999999999997;0.05416095657346254
77.04_11.72;0.00040654840820050027;0.016682896344309243;36.085;-0.2513767694690878;0.0002735876367098394;0.014387255344334668;50.899;0.15788327764452448;-0.00013296077149066085;-0.002295640999974575;14.814;-0.09349349182456335
76.84_11.72;0.00035462718518890543;0.01588967276262284;33.17;-0.43018319300252617;0.0001576637798518605;0.010487066072274343;29.858;0.36415453324801783;-0.00019696340533704494;-0.005402606690348498;-3.312000000000001;-0.06602865975450833
76.64_11.72;0.0004067854002849776;0.017257399797526725;32.756;-0.7808344479128895;0.00014299561027294197;0.00884591198257988;21.422;0.37399054023083755;-0.0002637897900120356;-0.008411487814946845;-11.334;-0.4068439076820519
76.44_11.72;0.0007027118148960667;0.023880644313036613;38.568;-1.8309653074000347;0.00023558539998350158;0.012626401724504507;21.814;0.05091378834736782;-0.00046712641491256513;-0.011254242588532106;-16.753999999999998;-1.780051519052667
76.24_11.72;0.0007027118148960667;0.023880644313036613;38.568;-1.8309653074000347;0.00018300731720311697;0.010929425541265428;20.495;0.2627313857260185;-0.0005197044976929497;-0.012951218771771186;-18.072999999999997;-1.5682339216740162
76.04_11.72;0.000800101923021447;0.025795761175846567;41.322;-2.0210515921597683;0.00047478947205695655;0.01872833544955165;30.068;-0.7927259630644778;-0.0003253124509644905;-0.007067425726294915;-11.254000000000001;-1.2283256290952904
75.84_11.72;0.0002647911010785011;0.013505789001974924;27.731;-0.09623392066627368;0.0002288314059413393;0.01241700505456524;27.427;0.052639049103538005;-3.5959695137161794e-05;-0.0010887839474096848;-0.30400000000000205;-0.04359487156273567
75.64_11.72;0.0002647911010785011;0.013505789001974924;27.731;-0.09623392066627368;0.0002352215149475916;0.012392364667335929;27.023;0.026184027689007627;-2.95695861309095e-05;-0.0011134243346389953;-0.708000000000002;-0.07004989297726605
75.44_11.72;0.0001480225452678069;0.00972684032809482;23.341;0.2613102419233526;0.00013159775046175942;0.008865595127297255;25.39;0.3432763213458264;-1.6424794806047492e-05;-0.0008612452007975644;2.0489999999999995;0.0819660794224738
75.24_11.72;0.00018619693400303384;0.010708376513431952;22.738;-0.04895464724457388;0.00018863880559974756;0.010763656368069429;31.368;-0.06271111736618007;2.4418715967137203e-06;5.52798546374772e-05;8.629999999999999;0.01375647012160619
75.04_11.72;0.00025692423873225565;0.012799202384156388;23.906;-0.4573763001251774;0.00014682928522782884;0.009437307356164914;23.863;0.16712599203863032;-0.00011009495350442682;-0.003361895027991474;-0.04299999999999926;-0.29025030808654706
77.44_12.72;0.0007905724740837679;0.02266060423448412;79.575;-0.760600976100787;0.00030471915678940915;0.014755555000346093;-260.088;0.32139195017913447;-0.00048585331729435877;-0.007905049234138027;180.51300000000003;-0.43920902592165256
77.24_12.72;0.0004165936325756082;0.016281193598900144;40.296;-0.1123933698501065;0.00026457894122218766;0.012970157967630899;59.662;0.2935181025261908;-0.00015201469135342054;-0.0033110356312692456;19.366;0.1811247326760843
77.04_12.72;0.00037599663862581463;0.015701938022842258;65.431;-0.015877312231819873;0.0002765001850616977;0.013521658619843288;149.562;0.25294474477572304;-9.949645356411695e-05;-0.0021802794029989695;84.13100000000001;0.23706743254390317
76.84_12.72;0.00038869276566504677;0.016449912839707655;43.9;-0.10809283527523594;0.0002313039965741274;0.012724091009929184;70.074;0.34059410409714586;-0.00015738876909091937;-0.0037258218297784706;26.174;0.2325012688219099
