POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;x;y
76.04_8.72;0.0002474680023109804;0.01250548657624246;26.20183333333334;-1.2281819831595595e+30;0.00045127154900605524;0.017045702929619308;31.546666666666667;-2.3010096034273544e+30;76.04;8.72
76.84_10.72;0.00024368589709870467;0.012643046723619693;25.12816666666667;-1.9233046421444185e+30;0.00034784116195427854;0.01495691917564559;27.789633333333327;-2.4139417508637358e+30;76.84;10.72
76.04_10.72;0.0004123099436105591;0.016048487205970286;20.781899999999997;-1.0209345376841992e+30;0.0004086686996515601;0.01598040924010651;21.081699999999998;-1.0336779149091821e+30;76.04;10.72
75.24_10.72;0.0001732851632314801;0.010218867394687763;19.485833333333336;-2.0734521497798263e+30;0.00036656274550247905;0.015073031901027574;26.207366666666665;-2.158711171122833e+30;75.24;10.72
76.84_12.72;0.0003122771804894153;0.01376617353863922;30.896633333333334;-2.971373358060253e+30;0.0003025182518300495;0.014167474269295759;28.15216666666667;-2.0512012133002181e+30;76.84;12.72
76.04_12.72;0.0002517799813964476;0.012799714799901047;24.72586666666667;-1.9993895791595846e+30;0.00030126597871516696;0.013790674771872501;25.164933333333334;-1.9963203223962834e+30;76.04;12.72
75.24_12.72;0.0002982708423431436;0.013799791636282116;35.10103333333333;-6.76282990878829e+30;0.00024259241825968294;0.012416540437112078;28.051066666666667;-3.182401156365878e+30;75.24;12.72
76.04_14.72;0.0001862344841216146;0.01035503189344438;24.388800000000003;-5.090757409669651e+30;0.0004056146488977112;0.016697344715874182;33.853233333333336;-4.1833193514815885e+30;76.04;14.72
75.24_14.72;0.0002339465921353782;0.012156692961211324;35.34046666666667;-6.911774885791449e+30;0.00023186081047623413;0.012291888704419761;31.787766666666673;-4.09100381160346e+30;75.24;14.72
76.04_16.72;0.0002270389024371138;0.01254856139277085;25.3135;-2.896238647771593e+30;0.0005068428305404794;0.018618421412077556;36.458299999999994;-6.34016730521649e+30;76.04;16.72
75.24_16.72;0.00042001721696151317;0.01675978802897237;42.803133333333335;-2.8180416427616104e+31;0.0007670611949803552;0.023220147406954463;55.45733333333333;-2.4302873254727363e+31;75.24;16.72
74.44_16.72;0.0005158733055403638;0.018432163142720576;2045.0428999999997;-4.2214256499281436e+32;0.0008813556691798576;0.024690234807568268;1577.5055999999997;-3.137568913630823e+32;74.44;16.72
76.84_18.72;0.0008650937735291547;0.024889043386088838;42.486433333333345;-5.354378662123727e+30;0.0008632279232765704;0.023875591815572902;44.004500000000014;-5.418571654524902e+30;76.84;18.72
76.04_18.72;0.0004875907758583709;0.018107058380530842;59.291599999999995;-9.051759752038882e+31;0.0008435415573229881;0.024070559277984006;72.9815;-7.597262653703871e+31;76.04;18.72
75.24_18.72;0.0014886142416127186;0.03030402595463004;63.3676;-3.3991874356591476e+31;0.0016069114624976785;0.03292773774715971;80.92493333333333;-3.8207650299701263e+31;75.24;18.72
76.84_20.72;0.001224331539657918;0.03041733039942811;47.35209999999999;-5.487550208238594e+30;0.0008715382325080799;0.024060765438602034;38.791466666666665;-5.402233598898324e+30;76.84;20.72
76.04_20.72;0.0011128203112345943;0.026218252357085726;74.2005;-1.0138709957818386e+32;0.0013821315363118766;0.03067721787860885;111.4979;-1.9938219741138216e+32;76.04;20.72
75.24_20.72;0.0016199788872709338;0.031822321964039675;110.68403333333335;-1.1765224762154542e+32;0.0017083432139565853;0.034142793391730555;175.98366666666664;-1.3611769337715498e+32;75.24;20.72
74.44_20.72;0.001710332222203992;0.032412752117402986;-381.22090000000003;-4.7458419665682856e+30;0.0015885131477545275;0.0322514110012331;-338.75063333333327;-1.2042817056818493e+31;74.44;20.72
73.64_20.72;0.0009884446711580983;0.02565129788059129;-119.45783333333334;-2.6729119719775525e+32;0.0014984415382211624;0.03139730914966783;-167.20059999999995;-5.8986589271783465e+32;73.64;20.72
76.04_22.72;0.0014866284802685695;0.031528223692641986;51.33276666666666;-7.42755716186654e+30;0.0012516541616562266;0.028765460279813224;53.320400000000014;-1.0622712996739423e+31;76.04;22.72
75.24_22.72;0.0017514109280145189;0.0343887351019889;56.55946666666667;-9.078843627824676e+30;0.0014543587093675072;0.030813712271686392;54.96303333333333;-9.258798344770725e+30;75.24;22.72
74.44_22.72;0.0016083101582797213;0.03175437766920492;281.83276666666666;-5.043125220351472e+30;0.0015555066089607812;0.03174772537070502;260.0298333333334;-7.048976105324331e+30;74.44;22.72
76.84_24.72;0.0013327724277073564;0.030960665899559325;47.03186666666667;-5.304953269130175e+30;0.0009089464179721048;0.024935689630795784;43.22663333333333;-8.396943376049461e+30;76.84;24.72
