;dates;sea_level
0;2012-01-01;-0.2452
1;2012-01-02;-0.24780000000000002
2;2012-01-03;-0.2456
3;2012-01-04;-0.2513
4;2012-01-05;-0.2555
5;2012-01-06;-0.2569
6;2012-01-07;-0.2521
7;2012-01-08;-0.2513
8;2012-01-09;-0.24700000000000003
9;2012-01-10;-0.2436
10;2012-01-11;-0.24020000000000002
11;2012-01-12;-0.2427
12;2012-01-13;-0.2417
13;2012-01-14;-0.24020000000000002
14;2012-01-15;-0.2414
15;2012-01-16;-0.2429
16;2012-01-17;-0.24500000000000002
17;2012-01-18;-0.2523
18;2012-01-19;-0.2523
19;2012-01-20;-0.2538
20;2012-01-21;-0.2541
21;2012-01-22;-0.25320000000000004
22;2012-01-23;-0.25120000000000003
23;2012-01-24;-0.24780000000000002
24;2012-01-25;-0.2457
25;2012-01-26;-0.2457
26;2012-01-27;-0.23520000000000002
27;2012-01-28;-0.2346
28;2012-01-29;-0.23720000000000002
29;2012-01-30;-0.23800000000000002
30;2012-01-31;-0.2427
31;2012-02-01;-0.2446
32;2012-02-02;-0.24380000000000002
33;2012-02-03;-0.256
34;2012-02-04;-0.2631
35;2012-02-05;-0.2665
36;2012-02-06;-0.2664
37;2012-02-07;-0.2727
38;2012-02-08;-0.2747
39;2012-02-09;-0.2822
40;2012-02-10;-0.29600000000000004
41;2012-02-11;-0.29860000000000003
42;2012-02-12;-0.2979
43;2012-02-13;-0.305
44;2012-02-14;-0.31010000000000004
45;2012-02-15;-0.3224
46;2012-02-16;-0.32930000000000004
47;2012-02-17;-0.33180000000000004
48;2012-02-18;-0.334
49;2012-02-19;-0.33890000000000003
50;2012-02-20;-0.34550000000000003
51;2012-02-21;-0.3416
52;2012-02-22;-0.34090000000000004
53;2012-02-23;-0.3452
54;2012-02-24;-0.3447
55;2012-02-25;-0.3408
56;2012-02-26;-0.3356
57;2012-02-27;-0.33140000000000003
58;2012-02-28;-0.33490000000000003
59;2012-02-29;-0.3306
60;2012-03-01;-0.3234
61;2012-03-02;-0.32280000000000003
62;2012-03-03;-0.3176
