POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF
76.04_8.72;0.0017224872683562968;0.030128032289818384;70.90755238095238;-1.588217692946292e+31;0.0004901572838108976;0.017031665766311422;37.6127619047619;-4.396023622325769e+30;-0.001232329984545399;-0.013096366523506962;-33.29479047619048;-1.148615330713715e+31
76.84_10.72;0.0008991099335815754;0.021165448215940408;48.567857142857136;-1.0267060971113573e+31;0.0003832116819989477;0.015605222073053935;33.38957142857143;-4.348254359266427e+30;-0.0005158982515826277;-0.005560226142886473;-15.178285714285707;-5.918806611847145e+30
76.04_10.72;0.0013085134078317131;0.026829319049617127;48.6371619047619;-1.0877398695928011e+31;0.0007237559943774617;0.02232183340613727;37.72192380952381;-4.63916295613584e+30;-0.0005847574134542514;-0.004507485643479858;-10.915238095238095;-6.238235739792171e+30
75.24_10.72;0.0007363434811405241;0.01856581138904639;41.170409523809525;-7.167014442168044e+30;0.0002144082800777829;0.011342674514298868;26.714914285714283;-2.834487203338499e+30;-0.0005219352010627412;-0.0072231368747475225;-14.455495238095242;-4.332527238829545e+30
76.84_12.72;0.0007169046540898396;0.019161749157600053;61.330333333333336;-1.658063907711998e+31;0.0003290317222866787;0.014023705953510534;40.63686666666667;-5.974014909149069e+30;-0.0003878729318031609;-0.00513804320408952;-20.693466666666666;-1.0606624167970912e+31
76.04_12.72;0.0008078301849525155;0.020632492962997805;48.75005714285714;-9.1052426249708e+30;0.000323959998603479;0.014376845592704664;33.12867619047619;-3.292940144520555e+30;-0.0004838701863490365;-0.006255647370293141;-15.621380952380946;-5.812302480450244e+30
75.24_12.72;0.0006453559807055429;0.01866147071954043;50.71884761904762;-9.444644910463877e+30;0.0002474664924537751;0.012249254773452563;34.31294285714285;-3.211506057431921e+30;-0.00039788948825176786;-0.006412215946087867;-16.40590476190477;-6.233138853031956e+30
76.04_14.72;0.0005314790607769495;0.017051453961164826;57.56999999999999;-7.890808020761747e+30;0.000344411171807007;0.014847380563659595;46.762771428571426;-4.777390000779618e+30;-0.0001870678889699425;-0.002204073397505231;-10.807228571428567;-3.1134180199821287e+30
75.24_14.72;0.0004794992266347748;0.016263518821893037;19.306704761904765;-1.492527418508616e+31;0.0002559141385533576;0.012819968165996808;-5.354714285714291;-1.1935651148002763e+31;-0.0002235850880814172;-0.0034435506558962298;-13.951990476190474;-2.9896230370833965e+30
76.04_16.72;0.0006868840949092193;0.01979318667737529;33.60232380952381;-1.3551855298583527e+31;0.0003310976292141923;0.014527272194665545;23.26253333333333;-5.291031951820292e+30;-0.000355786465695027;-0.005265914482709744;-10.33979047619048;-8.260823346763235e+30
