75.532663_17.902096;76.006222_24.893752;75.210923_11.252254;dates
-0.4675337076187134;-0.48114874958992004;-0.5019137859344482;2002-01-01
-0.43214213848114014;-0.43470191955566406;-0.47203946113586426;2002-01-02
-0.4591141641139984;-0.46320977807044983;-0.4609476625919342;2002-01-03
-0.43376508355140686;-0.45465749502182007;-0.4454129934310913;2002-01-04
-0.46568652987480164;-0.43338367342948914;-0.46059858798980713;2002-01-05
-0.4057161808013916;-0.40691468119621277;-0.46350976824760437;2002-01-06
-0.4106297791004181;-0.4647323191165924;-0.48682183027267456;2002-01-07
-0.45822426676750183;-0.47620609402656555;-0.4897471070289612;2002-01-08
-0.4533248543739319;-0.4462791681289673;-0.480084627866745;2002-01-09
-0.44367027282714844;-0.4550228416919708;-0.49450379610061646;2002-01-10
-0.46581149101257324;-0.4985946714878082;-0.49293673038482666;2002-01-11
-0.4528847932815552;-0.4705870747566223;-0.48903924226760864;2002-01-12
-0.4655434191226959;-0.4737185835838318;-0.4887065291404724;2002-01-13
-0.4760144352912903;-0.44817256927490234;-0.4916191101074219;2002-01-14
-0.4243450164794922;-0.42844054102897644;-0.5012966990470886;2002-01-15
-0.40794143080711365;-0.43586254119873047;-0.5115192532539368;2002-01-16
-0.4331643283367157;-0.42973965406417847;-0.5215878486633301;2002-01-17
-0.3998848795890808;-0.40638187527656555;-0.5157235860824585;2002-01-18
-0.4028618633747101;-0.41529884934425354;-0.5165320634841919;2002-01-19
-0.4201611578464508;-0.44385460019111633;-0.5088544487953186;2002-01-20
-0.44789233803749084;-0.4655276834964752;-0.5060391426086426;2002-01-21
-0.5023701190948486;-0.44956448674201965;-0.49518945813179016;2002-01-22
-0.4856148958206177;-0.4587308466434479;-0.5029794573783875;2002-01-23
-0.4866480529308319;-0.4723025858402252;-0.5257109999656677;2002-01-24
-0.4417758882045746;-0.46142634749412537;-0.5243465304374695;2002-01-25
-0.4093385636806488;-0.43380823731422424;-0.515153706073761;2002-01-26
-0.376901239156723;-0.40619009733200073;-0.5059608817100525;2002-01-27
-0.4084926247596741;-0.4236934185028076;-0.5071871280670166;2002-01-28
-0.43918532133102417;-0.4498158097267151;-0.4953593611717224;2002-01-29
-0.4332491457462311;-0.4185584485530853;-0.4909623861312866;2002-01-30
-0.4218669533729553;-0.42734354734420776;-0.4922863245010376;2002-01-31
-0.40200546383857727;-0.40694624185562134;-0.4610634446144104;2002-02-01
-0.39202117919921875;-0.3761971890926361;-0.45907852053642273;2002-02-02
-0.3927012085914612;-0.376448392868042;-0.4921765923500061;2002-02-03
-0.4413292407989502;-0.38183316588401794;-0.5318924784660339;2002-02-04
-0.4390997886657715;-0.4224012494087219;-0.5343321561813354;2002-02-05
-0.4114983379840851;-0.4254770576953888;-0.541433572769165;2002-02-06
-0.4216194152832031;-0.4412238895893097;-0.5517475605010986;2002-02-07
-0.42977896332740784;-0.43901386857032776;-0.5547419190406799;2002-02-08
-0.4333696961402893;-0.4374159276485443;-0.5537493228912354;2002-02-09
-0.4580182731151581;-0.4446658790111542;-0.5467454195022583;2002-02-10
-0.5105188488960266;-0.4743115305900574;-0.5347519516944885;2002-02-11
-0.47940972447395325;-0.4897981584072113;-0.516943097114563;2002-02-12
-0.4616561532020569;-0.4830876290798187;-0.5060790181159973;2002-02-13
-0.4572755694389343;-0.44260767102241516;-0.5335893034934998;2002-02-14
-0.45094189047813416;-0.47050875425338745;-0.5392394065856934;2002-02-15
-0.4841417670249939;-0.4847916066646576;-0.5442476272583008;2002-02-16
-0.4601462185382843;-0.44296136498451233;-0.540022075176239;2002-02-17
-0.4600912928581238;-0.4706687033176422;-0.5659807920455933;2002-02-18
-0.4710281491279602;-0.49477192759513855;-0.5535241961479187;2002-02-19
-0.48933812975883484;-0.5150937438011169;-0.5571128726005554;2002-02-20
-0.5309949517250061;-0.5343407988548279;-0.5763790607452393;2002-02-21
-0.5591734051704407;-0.5474964380264282;-0.5938289165496826;2002-02-22
-0.5516780018806458;-0.5128870010375977;-0.5992453098297119;2002-02-23
-0.6109210848808289;-0.578019917011261;-0.5999287962913513;2002-02-24
-0.5451613068580627;-0.5510767102241516;-0.5549381375312805;2002-02-25
-0.5334861278533936;-0.521206259727478;-0.5561302304267883;2002-02-26
-0.525288462638855;-0.5207551121711731;-0.5521549582481384;2002-02-27
-0.5098274946212769;-0.5081522464752197;-0.5532668232917786;2002-02-28
-0.5128611922264099;-0.5228834748268127;-0.5689493417739868;2002-03-01
-0.4996575117111206;-0.49718406796455383;-0.5557577610015869;2002-03-02
-0.4965115487575531;-0.4933983385562897;-0.5651989579200745;2002-03-03
-0.5034338235855103;-0.49721893668174744;-0.5698497891426086;2002-03-04
-0.48161581158638;-0.5022569894790649;-0.5714403390884399;2002-03-05
-0.4666846692562103;-0.4884098768234253;-0.5722578763961792;2002-03-06
-0.460938423871994;-0.4848824143409729;-0.5615919232368469;2002-03-07
-0.4745836555957794;-0.4819485545158386;-0.5540741086006165;2002-03-08
-0.4803629517555237;-0.4973866641521454;-0.5631633400917053;2002-03-09
-0.4821942150592804;-0.49925240874290466;-0.5493718385696411;2002-03-10
-0.4779335856437683;-0.4784758687019348;-0.540395200252533;2002-03-11
-0.46613961458206177;-0.47575995326042175;-0.5459424257278442;2002-03-12
-0.4760572910308838;-0.49332693219184875;-0.5606312155723572;2002-03-13
-0.4950682818889618;-0.5166639089584351;-0.5514293313026428;2002-03-14
-0.5239253640174866;-0.533601701259613;-0.5338722467422485;2002-03-15
-0.5005791187286377;-0.48414385318756104;-0.5339621901512146;2002-03-16
-0.46099570393562317;-0.4856441617012024;-0.548149585723877;2002-03-17
-0.48573803901672363;-0.5035244226455688;-0.5552535057067871;2002-03-18
-0.5185992121696472;-0.5450948476791382;-0.5452107787132263;2002-03-19
-0.5075414180755615;-0.5058004260063171;-0.5405019521713257;2002-03-20
-0.47484686970710754;-0.4838905334472656;-0.5384153127670288;2002-03-21
-0.4604909121990204;-0.4779146909713745;-0.5272107124328613;2002-03-22
-0.456673800945282;-0.4928327798843384;-0.5118646621704102;2002-03-23
-0.45153719186782837;-0.44794517755508423;-0.5209598541259766;2002-03-24
-0.43655815720558167;-0.4560557007789612;-0.5372096300125122;2002-03-25
-0.4160636365413666;-0.4576297104358673;-0.5485049486160278;2002-03-26
-0.44009366631507874;-0.4489215612411499;-0.5363073945045471;2002-03-27
-0.46528950333595276;-0.44662147760391235;-0.553886353969574;2002-03-28
-0.47500529885292053;-0.46313121914863586;-0.5515150427818298;2002-03-29
-0.4448513686656952;-0.4565773010253906;-0.5491397380828857;2002-03-30
-0.4519232511520386;-0.45895710587501526;-0.5550374388694763;2002-03-31
-0.4554412364959717;-0.4854203462600708;-0.5492640733718872;2002-04-01
-0.46280637383461;-0.48736029863357544;-0.551791787147522;2002-04-02
-0.45462915301322937;-0.4886587858200073;-0.5482818484306335;2002-04-03
-0.46857932209968567;-0.5056520104408264;-0.5354472398757935;2002-04-04
-0.47389349341392517;-0.49915990233421326;-0.5486716032028198;2002-04-05
-0.4933624267578125;-0.5533279180526733;-0.5390912294387817;2002-04-06
-0.4794025421142578;-0.4697149097919464;-0.5238772034645081;2002-04-07
-0.4563821852207184;-0.4679451286792755;-0.5451555252075195;2002-04-08
-0.4685906767845154;-0.5207783579826355;-0.5416094660758972;2002-04-09
-0.5090875029563904;-0.5350046157836914;-0.5543437600135803;2002-04-10
-0.5202853083610535;-0.5344717502593994;-0.5552419424057007;2002-04-11
-0.526735246181488;-0.527481198310852;-0.5492555499076843;2002-04-12
-0.487267404794693;-0.5009141564369202;-0.5352343320846558;2002-04-13
-0.46462270617485046;-0.48341837525367737;-0.53460693359375;2002-04-14
-0.44888198375701904;-0.48333433270454407;-0.5368648767471313;2002-04-15
-0.4469762146472931;-0.48788177967071533;-0.5131965279579163;2002-04-16
-0.44437408447265625;-0.47233983874320984;-0.505628764629364;2002-04-17
-0.4537999927997589;-0.48289647698402405;-0.5105994343757629;2002-04-18
-0.45624929666519165;-0.48209699988365173;-0.508983314037323;2002-04-19
-0.45408955216407776;-0.48481130599975586;-0.50497967004776;2002-04-20
-0.4633396863937378;-0.5027267932891846;-0.5023292303085327;2002-04-21
-0.45773977041244507;-0.44093355536460876;-0.5093306303024292;2002-04-22
-0.47526153922080994;-0.4638456702232361;-0.5218291878700256;2002-04-23
-0.4602457880973816;-0.4758371412754059;-0.5143660306930542;2002-04-24
-0.4516553580760956;-0.4514785706996918;-0.5389880537986755;2002-04-25
-0.4851858615875244;-0.5187293887138367;-0.557358980178833;2002-04-26
-0.5179985165596008;-0.5468505024909973;-0.5713865160942078;2002-04-27
-0.5259692668914795;-0.5535897016525269;-0.5679640173912048;2002-04-28
-0.5218461751937866;-0.5282235741615295;-0.5634604692459106;2002-04-29
-0.5156168341636658;-0.5047222971916199;-0.560340166091919;2002-04-30
-0.5006229281425476;-0.5249375700950623;-0.5673991441726685;2002-05-01
-0.5125705599784851;-0.5432088971138;-0.5718943476676941;2002-05-02
-0.52705317735672;-0.5448592901229858;-0.562296986579895;2002-05-03
-0.4923475384712219;-0.5000975728034973;-0.5407289862632751;2002-05-04
-0.4726107120513916;-0.4902555048465729;-0.5347259044647217;2002-05-05
-0.45533937215805054;-0.4874011278152466;-0.5246189832687378;2002-05-06
-0.4694533944129944;-0.4773942828178406;-0.5402190685272217;2002-05-07
-0.49404287338256836;-0.5045426487922668;-0.5401017665863037;2002-05-08
-0.4866594672203064;-0.5063662528991699;-0.5320343971252441;2002-05-09
-0.4699709117412567;-0.48934534192085266;-0.5314762592315674;2002-05-10
-0.4841873347759247;-0.5070846676826477;-0.5430108308792114;2002-05-11
-0.48182666301727295;-0.518360435962677;-0.5423404574394226;2002-05-12
-0.4609423279762268;-0.49396970868110657;-0.5296204686164856;2002-05-13
-0.47633102536201477;-0.49436795711517334;-0.5301809906959534;2002-05-14
-0.4829491972923279;-0.5024831295013428;-0.5267208218574524;2002-05-15
-0.46479472517967224;-0.49200478196144104;-0.5147270560264587;2002-05-16
-0.45500504970550537;-0.48213353753089905;-0.511271059513092;2002-05-17
-0.44704127311706543;-0.48118382692337036;-0.5045905709266663;2002-05-18
-0.451003760099411;-0.4779157042503357;-0.508110761642456;2002-05-19
